"Clave de la
Entidad
Federativa",Entidad Federativa,"Clave del
Municipio",Municipio,"Atención
Especial"
07,CHIAPAS,063,OSUMACINTA,1
07,CHIAPAS,064,OXCHUC,1
07,CHIAPAS,065,PALENQUE,1
07,CHIAPAS,066,PANTELHO,1
07,CHIAPAS,067,PANTEPEC,1
07,CHIAPAS,068,PICHUCALCO,1
07,CHIAPAS,069,PIJIJIAPAN,1
07,CHIAPAS,070,EL PORVENIR,1
07,CHIAPAS,071,VILLA COMALTITLAN,1
07,CHIAPAS,072,PUEBLO NUEVO SOLISTAHUACAN,1
07,CHIAPAS,073,RAYON,1
07,CHIAPAS,074,REFORMA,1
07,CHIAPAS,075,LAS ROSAS,1
07,CHIAPAS,076,SABANILLA,1
07,CHIAPAS,077,SALTO DE AGUA,1
07,CHIAPAS,078,SAN CRISTOBAL DE LAS CASAS,1
07,CHIAPAS,079,SAN FERNANDO,1
07,CHIAPAS,080,SILTEPEC,1
07,CHIAPAS,081,SIMOJOVEL,1
07,CHIAPAS,082,SITALA,1
07,CHIAPAS,083,SOCOLTENANGO,1
07,CHIAPAS,084,SOLOSUCHIAPA,1
07,CHIAPAS,085,SOYALO,1
07,CHIAPAS,086,SUCHIAPA,1
07,CHIAPAS,087,SUCHIATE,1
07,CHIAPAS,088,SUNUAPA,1
07,CHIAPAS,089,TAPACHULA,1
07,CHIAPAS,090,TAPALAPA,1
07,CHIAPAS,091,TAPILULA,1
07,CHIAPAS,092,TECPATAN,1
07,CHIAPAS,093,TENEJAPA,1
07,CHIAPAS,094,TEOPISCA,1
07,CHIAPAS,096,TILA,1
07,CHIAPAS,097,TONALA,1
07,CHIAPAS,098,TOTOLAPA,1
07,CHIAPAS,099,LA TRINITARIA,1
07,CHIAPAS,100,TUMBALA,1
07,CHIAPAS,101,TUXTLA GUTIERREZ,1
07,CHIAPAS,102,TUXTLA CHICO,1
07,CHIAPAS,103,TUZANTAN,1
07,CHIAPAS,104,TZIMOL,1
07,CHIAPAS,105,UNION JUAREZ,1
07,CHIAPAS,106,VENUSTIANO CARRANZA,1
07,CHIAPAS,107,VILLA CORZO,1
07,CHIAPAS,108,VILLAFLORES,1
07,CHIAPAS,109,YAJALON,1

07,CHIAPAS,110,SAN LUCAS,1
07,CHIAPAS,111,ZINACANTAN,1
07,CHIAPAS,112,SAN JUAN CANCUC,1
07,CHIAPAS,117,MONTECRISTO DE GUERRERO,1
07,CHIAPAS,119,SANTIAGO EL PINAR,1
08,CHIHUAHUA,001,AHUMADA,1
08,CHIHUAHUA,002,ALDAMA,1
08,CHIHUAHUA,003,ALLENDE,1
08,CHIHUAHUA,005,ASCENSION,1
08,CHIHUAHUA,006,BACHINIVA,1
08,CHIHUAHUA,007,BALLEZA,1
08,CHIHUAHUA,009,BOCOYNA,1
08,CHIHUAHUA,010,BUENAVENTURA,1
08,CHIHUAHUA,011,CAMARGO,1
08,CHIHUAHUA,014,CORONADO,1
08,CHIHUAHUA,017,CUAUHTEMOC,1
08,CHIHUAHUA,019,CHIHUAHUA,1
08,CHIHUAHUA,021,DELICIAS,1
08,CHIHUAHUA,023,GALEANA,1
08,CHIHUAHUA,025,GOMEZ FARIAS,1
08,CHIHUAHUA,029,GUADALUPE Y CALVO,1
08,CHIHUAHUA,032,HIDALGO DEL PARRAL,1
08,CHIHUAHUA,036,JIMENEZ,1
08,CHIHUAHUA,037,JUAREZ,1
08,CHIHUAHUA,038,JULIMES,1
08,CHIHUAHUA,044,MATAMOROS,1
08,CHIHUAHUA,045,MEOQUI,1
08,CHIHUAHUA,050,NUEVO CASAS GRANDES,1
08,CHIHUAHUA,051,OCAMPO,1
08,CHIHUAHUA,052,OJINAGA,1
08,CHIHUAHUA,060,SANTA BARBARA,1
08,CHIHUAHUA,062,SAUCILLO,1
09,CIUDAD DE MEXICO,002,AZCAPOTZALCO,1
09,CIUDAD DE MEXICO,003,COYOACAN,1
09,CIUDAD DE MEXICO,004,CUAJIMALPA DE MORELOS,1
09,CIUDAD DE MEXICO,005,GUSTAVO A. MADERO,1
09,CIUDAD DE MEXICO,007,IZTAPALAPA,1
09,CIUDAD DE MEXICO,008,LA MAGDALENA CONTRERAS,1
09,CIUDAD DE MEXICO,009,MILPA ALTA,1
09,CIUDAD DE MEXICO,010,ALVARO OBREGON,1
09,CIUDAD DE MEXICO,011,TLAHUAC,1
09,CIUDAD DE MEXICO,012,TLALPAN,1
09,CIUDAD DE MEXICO,013,XOCHIMILCO,1
09,CIUDAD DE MEXICO,015,CUAUHTEMOC,1
09,CIUDAD DE MEXICO,017,VENUSTIANO CARRANZA,1
10,DURANGO,001,CANATLAN,1
10,DURANGO,004,CUENCAME,1
10,DURANGO,005,DURANGO,1
10,DURANGO,007,GOMEZ PALACIO,1
10,DURANGO,008,GUADALUPE VICTORIA,1
10,DURANGO,009,GUANACEVI,1
10,DURANGO,012,LERDO,1
10,DURANGO,013,MAPIMI,1
10,DURANGO,014,MEZQUITAL,1
10,DURANGO,015,NAZAS,1
10,DURANGO,016,NOMBRE DE DIOS,1
10,DURANGO,018,EL ORO,1
10,DURANGO,020,PANUCO DE CORONADO,1
10,DURANGO,022,POANAS,1
10,DURANGO,023,PUEBLO NUEVO,1
10,DURANGO,028,SAN JUAN DEL RIO,1
10,DURANGO,032,SANTIAGO PAPASQUIARO,1
10,DURANGO,034,TAMAZULA,1
10,DURANGO,036,TLAHUALILO,1
10,DURANGO,037,TOPIA,1
10,DURANGO,038,VICENTE GUERRERO,1
11,GUANAJUATO,001,ABASOLO,1
11,GUANAJUATO,002,ACAMBARO,1
11,GUANAJUATO,003,SAN MIGUEL DE ALLENDE,1
11,GUANAJUATO,004,APASEO EL ALTO,1
11,GUANAJUATO,005,APASEO EL GRANDE,1
11,GUANAJUATO,007,CELAYA,1
11,GUANAJUATO,008,MANUEL DOBLADO,1
11,GUANAJUATO,009,COMONFORT,1
11,GUANAJUATO,010,CORONEO,1
11,GUANAJUATO,011,CORTAZAR,1
11,GUANAJUATO,012,CUERAMARO,1
11,GUANAJUATO,013,DOCTOR MORA,1
11,GUANAJUATO,014,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,1
11,GUANAJUATO,015,GUANAJUATO,1
11,GUANAJUATO,016,HUANIMARO,1
11,GUANAJUATO,017,IRAPUATO,1
11,GUANAJUATO,018,JARAL DEL PROGRESO,1
11,GUANAJUATO,019,JERECUARO,1
11,GUANAJUATO,020,LEON,1
11,GUANAJUATO,021,MOROLEON,1

11,GUANAJUATO,023,PENJAMO,1
11,GUANAJUATO,025,PURISIMA DEL RINCON,1
11,GUANAJUATO,026,ROMITA,1
11,GUANAJUATO,027,SALAMANCA,1
11,GUANAJUATO,028,SALVATIERRA,1
11,GUANAJUATO,029,SAN DIEGO DE LA UNION,1
11,GUANAJUATO,030,SAN FELIPE,1
11,GUANAJUATO,031,SAN FRANCISCO DEL RINCON,1
11,GUANAJUATO,032,SAN JOSE ITURBIDE,1
11,GUANAJUATO,033,SAN LUIS DE LA PAZ,1
11,GUANAJUATO,034,SANTA CATARINA,1
11,GUANAJUATO,035,SANTA CRUZ DE JUVENTINO ROSAS,1
11,GUANAJUATO,037,SILAO DE LA VICTORIA,1
11,GUANAJUATO,038,TARANDACUAO,1
11,GUANAJUATO,039,TARIMORO,1
11,GUANAJUATO,040,TIERRA BLANCA,1
11,GUANAJUATO,041,URIANGATO,1
11,GUANAJUATO,042,VALLE DE SANTIAGO,1
11,GUANAJUATO,044,VILLAGRAN,1
11,GUANAJUATO,046,YURIRIA,1
12,GUERRERO,001,ACAPULCO DE JUAREZ,1
12,GUERRERO,002,AHUACUOTZINGO,1
12,GUERRERO,003,AJUCHITLAN DEL PROGRESO,1
12,GUERRERO,004,ALCOZAUCA DE GUERRERO,1
12,GUERRERO,006,APAXTLA,1
12,GUERRERO,007,ARCELIA,1
12,GUERRERO,008,ATENANGO DEL RIO,1
12,GUERRERO,009,ATLAMAJALCINGO DEL MONTE,1
12,GUERRERO,010,ATLIXTAC,1
12,GUERRERO,011,ATOYAC DE ALVAREZ,1
12,GUERRERO,012,AYUTLA DE LOS LIBRES,1
12,GUERRERO,013,AZOYU,1
12,GUERRERO,014,BENITO JUAREZ,1
12,GUERRERO,015,BUENAVISTA DE CUELLAR,1
12,GUERRERO,016,COAHUAYUTLA DE JOSE MARIA IZAZAGA,1
12,GUERRERO,017,COCULA,1
12,GUERRERO,018,COPALA,1
12,GUERRERO,019,COPALILLO,1
12,GUERRERO,020,COPANATOYAC,1
12,GUERRERO,021,COYUCA DE BENITEZ,1
12,GUERRERO,022,COYUCA DE CATALAN,1
12,GUERRERO,023,CUAJINICUILAPA,1
12,GUERRERO,025,CUAUTEPEC,1
12,GUERRERO,027,CUTZAMALA DE PINZON,1
12,GUERRERO,028,CHILAPA DE ALVAREZ,1
12,GUERRERO,029,CHILPANCINGO DE LOS BRAVO,1
12,GUERRERO,030,FLORENCIO VILLARREAL,1
12,GUERRERO,032,GENERAL HELIODORO CASTILLO,1
12,GUERRERO,033,HUAMUXTITLAN,1
12,GUERRERO,034,HUITZUCO DE LOS FIGUEROA,1
12,GUERRERO,035,IGUALA DE LA INDEPENDENCIA,1
12,GUERRERO,036,IGUALAPA,1
12,GUERRERO,037,IXCATEOPAN DE CUAUHTEMOC,1
12,GUERRERO,038,ZIHUATANEJO DE AZUETA,1
12,GUERRERO,039,JUAN R. ESCUDERO,1
12,GUERRERO,040,LEONARDO BRAVO,1
12,GUERRERO,041,MALINALTEPEC,1
12,GUERRERO,042,MARTIR DE CUILAPAN,1
12,GUERRERO,044,MOCHITLAN,1
12,GUERRERO,045,OLINALA,1
12,GUERRERO,046,OMETEPEC,1
12,GUERRERO,047,PEDRO ASCENCIO ALQUISIRAS,1
12,GUERRERO,048,PETATLAN,1
12,GUERRERO,049,PILCAYA,1
12,GUERRERO,050,PUNGARABATO,1
12,GUERRERO,051,QUECHULTENANGO,1
12,GUERRERO,052,SAN LUIS ACATLAN,1
12,GUERRERO,053,SAN MARCOS,1
12,GUERRERO,054,SAN MIGUEL TOTOLAPAN,1
12,GUERRERO,055,TAXCO DE ALARCON,1
12,GUERRERO,056,TECOANAPA,1
12,GUERRERO,057,TECPAN DE GALEANA,1
12,GUERRERO,058,TELOLOAPAN,1
12,GUERRERO,059,TEPECOACUILCO DE TRUJANO,1
12,GUERRERO,060,TETIPAC,1
12,GUERRERO,061,TIXTLA DE GUERRERO,1
12,GUERRERO,062,TLACOACHISTLAHUACA,1
12,GUERRERO,063,TLACOAPA,1
12,GUERRERO,064,TLALCHAPA,1
12,GUERRERO,066,TLAPA DE COMONFORT,1
12,GUERRERO,067,TLAPEHUALA,1
12,GUERRERO,068,LA UNION DE ISIDORO MONTES DE OCA,1
12,GUERRERO,069,XALPATLAHUAC,1
12,GUERRERO,070,XOCHIHUEHUETLAN,1
12,GUERRERO,071,XOCHISTLAHUACA,1
12,GUERRERO,072,ZAPOTITLAN TABLAS,1

12,GUERRERO,073,ZIRANDARO,1
12,GUERRERO,074,ZITLALA,1
12,GUERRERO,075,EDUARDO NERI,1
12,GUERRERO,076,ACATEPEC,1
12,GUERRERO,077,MARQUELIA,1
12,GUERRERO,078,COCHOAPA EL GRANDE,1
12,GUERRERO,079,JOSE JOAQUIN DE HERRERA,1
12,GUERRERO,080,JUCHITAN,1
12,GUERRERO,081,ILIATENCO,1
13,HIDALGO,002,ACAXOCHITLAN,1
13,HIDALGO,003,ACTOPAN,1
13,HIDALGO,004,AGUA BLANCA DE ITURBIDE,1
13,HIDALGO,005,AJACUBA,1
13,HIDALGO,007,ALMOLOYA,1
13,HIDALGO,008,APAN,1
13,HIDALGO,009,EL ARENAL,1
13,HIDALGO,010,ATITALAQUIA,1
13,HIDALGO,011,ATLAPEXCO,1
13,HIDALGO,012,ATOTONILCO EL GRANDE,1
13,HIDALGO,013,ATOTONILCO DE TULA,1
13,HIDALGO,014,CALNALI,1
13,HIDALGO,016,CUAUTEPEC DE HINOJOSA,1
13,HIDALGO,017,CHAPANTONGO,1
13,HIDALGO,018,CHAPULHUACAN,1
13,HIDALGO,019,CHILCUAUTLA,1
13,HIDALGO,020,ELOXOCHITLAN,1
13,HIDALGO,021,EMILIANO ZAPATA,1
13,HIDALGO,022,EPAZOYUCAN,1
13,HIDALGO,023,FRANCISCO I. MADERO,1
13,HIDALGO,024,HUASCA DE OCAMPO,1
13,HIDALGO,025,HUAUTLA,1
13,HIDALGO,026,HUAZALINGO,1
13,HIDALGO,027,HUEHUETLA,1
13,HIDALGO,028,HUEJUTLA DE REYES,1
13,HIDALGO,029,HUICHAPAN,1
13,HIDALGO,030,IXMIQUILPAN,1
13,HIDALGO,031,JACALA DE LEDEZMA,1
13,HIDALGO,032,JALTOCAN,1
13,HIDALGO,033,JUAREZ HIDALGO,1
13,HIDALGO,034,LOLOTLA,1
13,HIDALGO,035,METEPEC,1
13,HIDALGO,037,METZTITLAN,1
13,HIDALGO,038,MINERAL DEL CHICO,1
13,HIDALGO,039,MINERAL DEL MONTE,1
13,HIDALGO,040,LA MISION,1
13,HIDALGO,041,MIXQUIAHUALA DE JUAREZ,1
13,HIDALGO,042,MOLANGO DE ESCAMILLA,1
13,HIDALGO,044,NOPALA DE VILLAGRAN,1
13,HIDALGO,046,SAN FELIPE ORIZATLAN,1
13,HIDALGO,047,PACULA,1
13,HIDALGO,048,PACHUCA DE SOTO,1
13,HIDALGO,049,PISAFLORES,1
13,HIDALGO,050,PROGRESO DE OBREGON,1
13,HIDALGO,051,MINERAL DE LA REFORMA,1
13,HIDALGO,052,SAN AGUSTIN TLAXIACA,1
13,HIDALGO,053,SAN BARTOLO TUTOTEPEC,1
13,HIDALGO,054,SAN SALVADOR,1
13,HIDALGO,055,SANTIAGO DE ANAYA,1
13,HIDALGO,056,SANTIAGO TULANTEPEC DE LUGO GUERRERO,1
13,HIDALGO,057,SINGUILUCAN,1
13,HIDALGO,059,TECOZAUTLA,1
13,HIDALGO,060,TENANGO DE DORIA,1
13,HIDALGO,061,TEPEAPULCO,1
13,HIDALGO,062,TEPEHUACAN DE GUERRERO,1
13,HIDALGO,063,TEPEJI DEL RIO DE OCAMPO,1
13,HIDALGO,065,TETEPANGO,1
13,HIDALGO,066,VILLA DE TEZONTEPEC,1
13,HIDALGO,067,TEZONTEPEC DE ALDAMA,1
13,HIDALGO,068,TIANGUISTENGO,1
13,HIDALGO,069,TIZAYUCA,1
13,HIDALGO,070,TLAHUELILPAN,1
13,HIDALGO,071,TLAHUILTEPA,1
13,HIDALGO,073,TLANCHINOL,1
13,HIDALGO,074,TLAXCOAPAN,1
13,HIDALGO,075,TOLCAYUCA,1
13,HIDALGO,076,TULA DE ALLENDE,1
13,HIDALGO,077,TULANCINGO DE BRAVO,1
13,HIDALGO,078,XOCHIATIPAN,1
13,HIDALGO,079,XOCHICOATLAN,1
13,HIDALGO,081,ZACUALTIPAN DE ANGELES,1
13,HIDALGO,082,ZAPOTLAN DE JUAREZ,1
13,HIDALGO,083,ZEMPOALA,1
13,HIDALGO,084,ZIMAPAN,1
14,JALISCO,001,ACATIC,1
14,JALISCO,002,ACATLAN DE JUAREZ,1
14,JALISCO,003,AHUALULCO DE MERCADO,1

14,JALISCO,006,AMECA,1
14,JALISCO,007,SAN JUANITO DE ESCOBEDO,1
14,JALISCO,009,EL ARENAL,1
14,JALISCO,010,ATEMAJAC DE BRIZUELA,1
14,JALISCO,013,ATOTONILCO EL ALTO,1
14,JALISCO,014,ATOYAC,1
14,JALISCO,015,AUTLAN DE NAVARRO,1
14,JALISCO,016,AYOTLAN,1
14,JALISCO,018,LA BARCA,1
14,JALISCO,020,CABO CORRIENTES,1
14,JALISCO,021,CASIMIRO CASTILLO,1
14,JALISCO,022,CIHUATLAN,1
14,JALISCO,023,ZAPOTLAN EL GRANDE,1
14,JALISCO,024,COCULA,1
14,JALISCO,025,COLOTLAN,1
14,JALISCO,027,CUAUTITLAN DE GARCIA BARRAGAN,1
14,JALISCO,028,CUAUTLA,1
14,JALISCO,029,CUQUIO,1
14,JALISCO,030,CHAPALA,1
14,JALISCO,032,CHIQUILISTLAN,1
14,JALISCO,033,DEGOLLADO,1
14,JALISCO,035,ENCARNACION DE DIAZ,1
14,JALISCO,037,EL GRULLO,1
14,JALISCO,039,GUADALAJARA,1
14,JALISCO,040,HOSTOTIPAQUILLO,1
14,JALISCO,044,IXTLAHUACAN DE LOS MEMBRILLOS,1
14,JALISCO,045,IXTLAHUACAN DEL RIO,1
14,JALISCO,046,JALOSTOTITLAN,1
14,JALISCO,047,JAMAY,1
14,JALISCO,048,JESUS MARIA,1
14,JALISCO,050,JOCOTEPEC,1
14,JALISCO,051,JUANACATLAN,1
14,JALISCO,053,LAGOS DE MORENO,1
14,JALISCO,054,EL LIMON,1
14,JALISCO,055,MAGDALENA,1
14,JALISCO,059,MAZAMITLA,1
14,JALISCO,063,OCOTLAN,1
14,JALISCO,064,OJUELOS DE JALISCO,1
14,JALISCO,066,PONCITLAN,1
14,JALISCO,067,PUERTO VALLARTA,1
14,JALISCO,068,VILLA PURIFICACION,1
14,JALISCO,070,EL SALTO,1
14,JALISCO,072,SAN DIEGO DE ALEJANDRIA,1
14,JALISCO,073,SAN JUAN DE LOS LAGOS,1
14,JALISCO,074,SAN JULIAN,1
14,JALISCO,075,SAN MARCOS,1
14,JALISCO,077,SAN MARTIN HIDALGO,1
14,JALISCO,079,GOMEZ FARIAS,1
14,JALISCO,082,SAYULA,1
14,JALISCO,083,TALA,1
14,JALISCO,085,TAMAZULA DE GORDIANO,1
14,JALISCO,088,TECOLOTLAN,1
14,JALISCO,090,TENAMAXTLAN,1
14,JALISCO,092,TEOCUITATLAN DE CORONA,1
14,JALISCO,093,TEPATITLAN DE MORELOS,1
14,JALISCO,094,TEQUILA,1
14,JALISCO,095,TEUCHITLAN,1
14,JALISCO,096,TIZAPAN EL ALTO,1
14,JALISCO,097,TLAJOMULCO DE ZUÑIGA,1
14,JALISCO,098,SAN PEDRO TLAQUEPAQUE,1
14,JALISCO,100,TOMATLAN,1
14,JALISCO,101,TONALA,1
14,JALISCO,102,TONAYA,1
14,JALISCO,103,TONILA,1
14,JALISCO,106,TUXCACUESCO,1
14,JALISCO,107,TUXCUECA,1
14,JALISCO,108,TUXPAN,1
14,JALISCO,109,UNION DE SAN ANTONIO,1
14,JALISCO,112,VALLE DE JUAREZ,1
14,JALISCO,113,SAN GABRIEL,1
14,JALISCO,114,VILLA CORONA,1
14,JALISCO,115,VILLA GUERRERO,1
14,JALISCO,119,ZACOALCO DE TORRES,1
14,JALISCO,120,ZAPOPAN,1
14,JALISCO,121,ZAPOTILTIC,1
14,JALISCO,122,ZAPOTITLAN DE VADILLO,1
14,JALISCO,123,ZAPOTLAN DEL REY,1
14,JALISCO,124,ZAPOTLANEJO,1
15,MEXICO,001,ACAMBAY DE RUIZ CASTAÑEDA,1
15,MEXICO,002,ACOLMAN,1
15,MEXICO,003,ACULCO,1
15,MEXICO,004,ALMOLOYA DE ALQUISIRAS,1
15,MEXICO,005,ALMOLOYA DE JUAREZ,1
15,MEXICO,006,ALMOLOYA DEL RIO,1
15,MEXICO,007,AMANALCO,1
15,MEXICO,008,AMATEPEC,1

15,MEXICO,009,AMECAMECA,1
15,MEXICO,010,APAXCO,1
15,MEXICO,011,ATENCO,1
15,MEXICO,012,ATIZAPAN,1
15,MEXICO,013,ATIZAPAN DE ZARAGOZA,1
15,MEXICO,014,ATLACOMULCO,1
15,MEXICO,015,ATLAUTLA,1
15,MEXICO,016,AXAPUSCO,1
15,MEXICO,017,AYAPANGO,1
15,MEXICO,018,CALIMAYA,1
15,MEXICO,019,CAPULHUAC,1
15,MEXICO,021,COATEPEC HARINAS,1
15,MEXICO,022,COCOTITLAN,1
15,MEXICO,023,COYOTEPEC,1
15,MEXICO,024,CUAUTITLAN,1
15,MEXICO,025,CHALCO,1
15,MEXICO,026,CHAPA DE MOTA,1
15,MEXICO,027,CHAPULTEPEC,1
15,MEXICO,028,CHIAUTLA,1
15,MEXICO,029,CHICOLOAPAN,1
15,MEXICO,030,CHICONCUAC,1
15,MEXICO,031,CHIMALHUACAN,1
15,MEXICO,032,DONATO GUERRA,1
15,MEXICO,033,ECATEPEC DE MORELOS,1
15,MEXICO,034,ECATZINGO,1
15,MEXICO,035,HUEHUETOCA,1
15,MEXICO,036,HUEYPOXTLA,1
15,MEXICO,037,HUIXQUILUCAN,1
15,MEXICO,038,ISIDRO FABELA,1
15,MEXICO,039,IXTAPALUCA,1
15,MEXICO,040,IXTAPAN DE LA SAL,1
15,MEXICO,041,IXTAPAN DEL ORO,1
15,MEXICO,042,IXTLAHUACA,1
15,MEXICO,043,XALATLACO,1
15,MEXICO,044,JALTENCO,1
15,MEXICO,045,JILOTEPEC,1
15,MEXICO,046,JILOTZINGO,1
15,MEXICO,047,JIQUIPILCO,1
15,MEXICO,048,JOCOTITLAN,1
15,MEXICO,049,JOQUICINGO,1
15,MEXICO,050,JUCHITEPEC,1
15,MEXICO,051,LERMA,1
15,MEXICO,052,MALINALCO,1
15,MEXICO,053,MELCHOR OCAMPO,1
15,MEXICO,054,METEPEC,1
15,MEXICO,055,MEXICALTZINGO,1
15,MEXICO,056,MORELOS,1
15,MEXICO,057,NAUCALPAN DE JUAREZ,1
15,MEXICO,058,NEZAHUALCOYOTL,1
15,MEXICO,059,NEXTLALPAN,1
